epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1540.08,0.64838,0.80254,1.03964,0.80745,0.83709,0.88581,0.74384,0.64252,0.63254,1.0271,4.0768e-05,4.0768e-05,4.0768e-05
42,1575.11,0.63209,0.76345,1.02962,0.80621,0.83129,0.89462,0.74787,0.64897,0.619,1.02796,3.68872e-05,3.68872e-05,3.68872e-05
43,1609.91,0.62571,0.74935,1.02436,0.84423,0.82532,0.90076,0.75306,0.65285,0.61174,1.0243,3.30064e-05,3.30064e-05,3.30064e-05
44,1644.21,0.6169,0.73191,1.01508,0.8369,0.83708,0.9021,0.75755,0.64302,0.60957,1.02092,2.91256e-05,2.91256e-05,2.91256e-05
45,1677.7,0.61647,0.72735,1.01543,0.84895,0.84079,0.90827,0.76343,0.63776,0.60208,1.02103,2.52448e-05,2.52448e-05,2.52448e-05
46,1711.16,0.61269,0.72002,1.01506,0.82005,0.86228,0.90692,0.76473,0.63419,0.59467,1.01764,2.1364e-05,2.1364e-05,2.1364e-05
47,1744.55,0.60883,0.71809,1.01109,0.848,0.84637,0.90956,0.7615,0.64548,0.59099,1.02044,1.74832e-05,1.74832e-05,1.74832e-05
48,1777.97,0.60629,0.71124,1.00857,0.84495,0.85322,0.91042,0.76491,0.63694,0.58743,1.01828,1.36024e-05,1.36024e-05,1.36024e-05
49,1811.37,0.60572,0.7078,1.00895,0.84491,0.85395,0.91076,0.76426,0.63897,0.58692,1.01942,9.7216e-06,9.7216e-06,9.7216e-06
50,1844.78,0.60162,0.70047,1.00257,0.84952,0.85269,0.90938,0.76457,0.63473,0.58493,1.01588,5.8408e-06,5.8408e-06,5.8408e-06
